body,type,subType,distanceToArrival,isLandable,gravity,earthMasses,radius,surfaceTemperature,volcanismType,atmosphereType,terraformingState,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt
HIP 20785 6,Planet,Class I gas giant,4706.670898,,1.6768403571482,178.249115,65758.568,122,No volcanism,No atmosphere,Not terraformable,966.11666666667,0.013992039152734,0.083585,6.311702,103.491173,0.686770788125,,0.225889,
HIP 20785 6 a,Planet,Rocky body,4706.097168,1,0.10511391784021,0.002074,895.8984375,110,No volcanism,No atmosphere,Not terraformable,1.6213982928241,0.0021932215910878,0.000872,0.090638,121.012947,1.5267683015046,1,-0.469749,
HIP 20785 6 b,Planet,Rocky body,4708.048828,1,0.12804255435818,0.003706,1085.07575,108,No volcanism,No atmosphere,Not terraformable,4.1001320167824,0.004070876765494,0.000125,-0.005189,289.821228,3.9729777922454,1,0.064556,
HIP 20785 6 c,Planet,Rocky body,4708.300293,1,0.14106010289048,0.004922,1191.388,107,No volcanism,No atmosphere,Not terraformable,14.576730324074,0.0094826444879339,0.011924,-0.325624,133.872879,14.389717881944,1,0.09681,
HIP 20785 7,Planet,Class I gas giant,4780.110352,,0.67942316655812,17.067778,31967.07,104,No volcanism,No atmosphere,Not terraformable,966.11666666667,0.14611639329971,0.083585,6.311702,283.49118,0.48901462130787,,0.469471,
HIP 20785 7 a,Planet,Rocky body,4690.364746,,0.087149046260455,0.001188,744.6658125,105,Major Rocky Magma,Sulphur dioxide,Not terraformable,1.7470446325231,0.0010545958659825,0.000127,0.00046,153.07338,-1.7471715856481,,-2.39829,
HIP 20785 7 b,Planet,Rocky Ice world,4689.143555,1,0.04149947883099,0.000308,549.463125,93,No volcanism,No atmosphere,Not terraformable,8.5574327256944,0.0030416719560969,0.013536,3.229629,307.971527,8.5580541087963,1,-0.278954,
Synuefe UZ-X c17-10,Star,G (White-Yellow) Star,0,,,,,5217,,,,,,,,,3.2003971354167,,,
Synuefe UZ-X c17-10 1,Planet,Class III gas giant,897.270935,,4.9522273916254,716.300415,76706.44,258,No volcanism,No atmosphere,Not terraformable,1013.8564814815,1.7937707120052,0.002458,-0.024177,127.742378,3.1828088831019,,3.080299,
Synuefe UZ-X c17-10 1 a,Planet,Rocky body,898.142151,,0.062940482023817,0.00045,539.2941875,177,Major Rocky Magma,Sulphur dioxide,Not terraformable,1.7447502531829,0.003661528051415,4.3E-5,0.025694,247.138184,-1.744781177662,,-2.655744,
Synuefe UZ-X c17-10 1 b,Planet,Rocky body,895.777954,1,0.051379067119943,0.000248,443.1158125,172,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.54917001230324,6.7354789729638E-6,0.008015,-3.193125,218.097336,0.80908700449074,1,0.422529,
Synuefe UZ-X c17-10 1 c,Planet,Rocky body,898.657288,1,0.048764411262387,0.000212,420.53384375,172,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.54917001230324,7.8844546348212E-6,0.008015,-3.193125,38.097324,0.74781408239583,1,-0.083651,
Synuefe UZ-X c17-10 1 d,Planet,Rocky body,894.211426,1,0.081862335738845,0.000987,700.32725,167,No volcanism,No atmosphere,Not terraformable,7.8876642071759,0.010010883878175,0.000113,-0.027202,310.108032,7.8878030960648,1,-0.069329,
Synuefe UZ-X c17-10 1 e,Planet,Rocky body,902.116821,1,0.076678168132331,0.000813,656.7406875,163,No volcanism,No atmosphere,Not terraformable,20.566657986111,0.018964845761003,0.010287,-0.029344,15.114263,20.567019675926,1,-0.473362,
Synuefe UZ-X c17-10 1 f,Planet,Icy body,889,,0.095591787155508,0.004913,1445.931125,281,No volcanism,Carbon dioxide,Not terraformable,3.5331611689815,4.0988571370087E-5,0.116735,-3.006732,72.944618,-6.2149934895833,,-1.677976,
Synuefe UZ-X c17-10 1 g,Planet,Icy body,890,,0.074074164996539,0.002346,1135.050375,438,Water Magma,Thick Carbon dioxide,Not terraformable,3.5331611689815,8.5839985154281E-5,0.116735,-3.006732,252.944626,5.7261939380787,,-0.325591,
Synuefe UZ-X c17-10 1 h,Planet,Icy body,915,,0.069361574761614,0.001933,1064.733625,254,No volcanism,Carbon dioxide,Not terraformable,65.057488425926,0.040866898675718,0.00224,-8.839608,83.153725,65.058634259259,1,0.413258,
Synuefe UZ-X c17-10 2,Planet,Gas giant with ammonia-based life,1300.519287,,1.6607851574249,184.684814,67257.912,143,No volcanism,No atmosphere,Not terraformable,621.51666666667,0.0021815091249156,0.195687,-5.741414,241.590698,0.86386962891204,,0.438929,
Synuefe UZ-X c17-10 3,Planet,Icy body,1364,,1.1337434671833,3.483529,11179.872,640,Major Water Geysers,Hot thick Methane-rich,Not terraformable,621.51666666667,0.1156574767745,0.195687,-5.741414,61.590687,2.3324300130208,,0.523193,
Synuefe UZ-X c17-10 4,Planet,Class I gas giant,1725,,1.3976962446746,13.944775,20145.77,107,No volcanism,No atmosphere,Not terraformable,2710.9948148148,3.4556925929294,0.00051,-0.027348,162.798096,1.5784315321181,,0.52073,
HIP 16440,Star,F (White) Star,0,,,,,6706,,,,,,,,,3.5245240162037,,,
HIP 16440 1,Planet,Class III gas giant,1273.981201,,4.8545400855191,700.809998,76632.08,319,No volcanism,No atmosphere,Not terraformable,1341.3827777778,2.5531241750756,0.000481,-0.047299,334.365204,1.2703749819213,,2.702532,
HIP 16440 1 a,Planet,Rocky body,1277.959229,1,0.087833163130426,0.001218,751.067375,232,Metallic Magma,No atmosphere,Not terraformable,0.70912235966435,1.1458483613297E-5,0.131199,-1.564201,321.684479,0.55888011791667,,-0.341376,
HIP 16440 1 b,Planet,Rocky body,1275.58313,1,0.076818970651841,0.00082,658.9571875,232,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.70912235966435,1.7011161242417E-5,0.131199,-1.564201,141.684479,0.91737150969907,1,0.317974,
HIP 16440 1 c,Planet,Rocky body,1279.959229,1,0.10701441240481,0.002176,909.4793125,229,No volcanism,No atmosphere,Not terraformable,12.111774450231,0.01322754656026,4.9E-5,-0.011813,111.836449,11.970871672454,1,-1.436066,
HIP 16440 1 d,Planet,Rocky body,1269.756226,1,0.098261650933579,0.001697,838.1725,227,No volcanism,No atmosphere,Not terraformable,24.374186921296,0.021084383094766,0.001216,-0.010453,162.089096,24.203114872685,1,0.206705,
HIP 16440 1 e,Planet,Rocky body,1265.744751,1,0.15066970404807,0.005931,1265.422375,225,No volcanism,No atmosphere,Not terraformable,38.763556134259,0.028726976579888,0.000857,-0.456805,22.538992,-38.572048611111,,-2.839556,
HIP 16440 2,Planet,Class II gas giant,1739.369263,,1.9255575319483,226.033875,69102.384,207,No volcanism,No atmosphere,Not terraformable,282.84724537037,0.00052196678759279,0.00518,-0.855133,284.038147,0.96983669704861,,0.092751,
HIP 16440 2 a,Planet,Rocky body,1739.014771,1,0.11377207908919,0.002613,966.5768125,193,Metallic Magma,No atmosphere,Not terraformable,0.99224962023148,0.0017111422161439,0.001901,0.007661,108.096153,0.92939805773148,1,-0.103212,
HIP 16440 2 b,Planet,Rocky body,1737.708618,1,0.1719394145116,0.008754,1439.130125,190,No volcanism,No atmosphere,Not terraformable,2.7025770399306,0.0033372665377115,0.000555,0.024225,244.755478,2.6166511140046,1,-0.3889,
HIP 16440 3,Planet,High metal content world,1756.93335,,1.3345691014129,1.599499,6982.42,190,Minor Silicate Vapour Geysers,Nitrogen,Not terraformable,282.84724537037,0.07376756631871,0.00518,-0.855133,104.038139,1.5672455512153,,-0.444669,
HIP 16440 4,Planet,Gas giant with water-based life,2187.808105,,1.518909623699,9.176417,15676.717,162,No volcanism,No atmosphere,Not terraformable,3018.7705555556,4.3845351438949,4.5E-5,-1.446821,15.690228,1.0747768373843,,0.097762,
HIP 16440 4 a,Planet,Rocky body,2186.907959,1,0.045528851810145,0.000173,393.155375,165,No volcanism,No atmosphere,Not terraformable,15.802288773148,0.0037226737345534,0.000158,0.027795,106.787415,15.803046875,1,-0.495305,
HIP 16440 4 b,Planet,Rocky body,2184.375244,1,0.046138220170897,0.000179,397.26528125,165,No volcanism,No atmosphere,Not terraformable,40.045749421296,0.0069195731406891,0.001728,0.339838,121.452377,40.04767650463,1,0.429137,
HIP 16440 4 c,Planet,Rocky body,2181.874023,1,0.054246716264745,0.000292,467.93896875,165,No volcanism,No atmosphere,Not terraformable,90.28837962963,0.011897696616079,0.000138,0.006151,184.665222,0.51034790039352,,-0.096318,
HIP 16440 5,Planet,Gas giant with ammonia-based life,3177.676514,,2.014370864676,87.177238,41958.152,142,No volcanism,No atmosphere,Not terraformable,5285.9933333333,6.3697320740007,0.000761,0.007345,155.705902,1.150615867338,,0.771807,
HIP 16440 5 a,Planet,Icy body,3176.727295,1,0.057862679168447,0.001304,957.4675,122,Minor Carbon Dioxide Geysers,No atmosphere,Not terraformable,3.3542505787037,0.0028056324467458,8.4E-5,0.06765,6.110806,3.3545909288194,1,-0.153911,
HIP 16440 5 b,Planet,Icy body,3178.099854,1,0.0579260524773,0.001307,958.04375,122,Minor Nitrogen Magma,No atmosphere,Not terraformable,7.9190675636574,0.0049745041725383,0.001288,-0.474335,316.876923,7.9198719618056,1,-0.204077,
HIP 16440 5 c,Planet,Icy body,3177.736084,1,0.070453458406755,0.002298,1151.883,122,No volcanism,No atmosphere,Not terraformable,16.866559606481,0.0082347687586438,0.002101,0.106762,9.258305,-16.868271122685,,-2.514029,
HIP 16440 5 d,Planet,Icy body,3183.196777,1,0.057831593353142,0.001302,956.9900625,121,No volcanism,No atmosphere,Not terraformable,3.7803645833333,4.70977859981E-5,0.080246,-1.933622,318.590698,5.3480660445602,1,0.141251,
HIP 16440 5 e,Planet,Icy body,3183.16333,1,0.057839232065745,0.001301,956.5593125,121,No volcanism,No atmosphere,Not terraformable,3.7803645833333,4.7161924611538E-5,0.080246,-1.933622,138.590698,5.3444292534722,1,0.467833,
HIP 16440 5 f,Planet,Icy body,3183.161133,1,0.062467022942252,0.001635,1031.853375,121,No volcanism,No atmosphere,Not terraformable,9.5308745659722,0.00012615737050059,0.047587,-8.218238,355.922729,12.161644965278,1,-0.434519,
HIP 16440 5 g,Planet,Icy body,3186.615479,1,0.065334106318591,0.001865,1077.591,121,No volcanism,No atmosphere,Not terraformable,97.978726851852,0.026610617045367,0.001777,0.012102,144.641556,1.6801426866319,,0.492676,
HIP 16440 5 h,Planet,Icy body,3165.041504,1,0.066056153016282,0.001927,1089.35325,121,No volcanism,No atmosphere,Not terraformable,153.10256944444,0.035833459760601,0.000557,2.642337,157.94165,1.2406471535069,,0.13997,
HIP 16440 5 i,Planet,Icy body,3171.630371,1,0.057196774062561,0.00126,946.6381875,121,No volcanism,No atmosphere,Not terraformable,240.05106481481,0.048361850273314,4.3E-5,-0.081011,133.990829,1.4100947627315,,-0.185069,
HIP 16440 6,Planet,High metal content world,9834.777344,,1.47330335117,2.088107,7593.0245,274,Minor Metallic Magma,Thick Methane,Not terraformable,30859.712592593,20.652122680888,0.141244,16.235985,60.805397,1.6806320529514,,0.105775,
Pleiades Sector KH-V c2-1,Star,K (Yellow-Orange) Star,0,,,,,4891,,,,,,,,,2.4677828414352,,,
Pleiades Sector KH-V c2-1 1,Planet,Class II gas giant,1327.849243,,5.0053537605903,728.287903,76934.064,231,No volcanism,No atmosphere,Not terraformable,209.9475462963,0.00054777089818565,0.179127,-5.033998,111.996147,0.73193336769676,,0.489565,
Pleiades Sector KH-V c2-1 1 a,Planet,Rocky body,1329.219727,1,0.12394872569758,0.003358,1049.793375,150,Minor Metallic Magma,No atmosphere,Not terraformable,1.259109971794,0.0029622284724137,0.001772,0.005268,36.065815,1.2591321252894,1,0.412154,
Pleiades Sector KH-V c2-1 1 b,Planet,Rocky body,1329.191528,,0.166952794972,0.008002,1396.326375,304,Major Rocky Magma,Thick Sulphur dioxide,Not terraformable,1.7792838541667,0.0037302644308292,0.000476,-0.292379,157.549698,-1.7793151403356,,-1.81782,
Pleiades Sector KH-V c2-1 1 b a,Planet,Rocky body,1329.202271,,0.051010027908316,0.000264,458.83728125,230,Major Silicate Vapour Geysers,Carbon dioxide,Not terraformable,0.19058709038194,1.8906900123412E-5,,73.836395,235.912399,0.19370440447917,1,0.34736,
Pleiades Sector KH-V c2-1 1 c,Planet,Rocky body,1330.15918,,0.13639939107702,0.004438,1150.461125,278,No volcanism,Carbon dioxide,Not terraformable,2.9839362702546,0.005265454196067,0.001024,3.340719,343.630096,-2.9839887152778,,-3.138754,
Pleiades Sector KH-V c2-1 2,Planet,Gas giant with ammonia-based life,1276.131104,,0.34926661948251,4.463332,22800.038,124,No volcanism,No atmosphere,Not terraformable,209.9475462963,0.089374629955879,0.179127,-5.033998,291.996155,70.196643518519,,-0.175635,
Pleiades Sector KH-V c2-1 2 a,Planet,Rocky body,1363.114746,1,0.053724734618951,0.000282,462.0850625,125,No volcanism,No atmosphere,Not terraformable,3.1545963541667,0.0010000007573637,0.004926,-0.107345,353.465973,3.1547565827546,1,0.406168,
Pleiades Sector KH-V c2-1 3,Planet,Class II gas giant,1987.708496,,4.9087520345467,718.884399,77184.216,207,No volcanism,No atmosphere,Not terraformable,3173.307037037,3.9968837482658,0.003408,-1.1232,272.089844,0.75899486400463,,0.434216,
Pleiades Sector KH-V c2-1 3 a,Planet,Rocky Ice world,1988.184204,1,0.1023790035266,0.004284,1304.679375,117,Major Water Geysers,No atmosphere,Not terraformable,0.79159242983796,0.002164580755627,3.3E-5,3.2E-5,344.869965,0.79163718894676,1,-0.175276,
Pleiades Sector KH-V c2-1 3 b,Planet,Icy body,1995.283325,1,0.15701795850217,0.024978,2543.8335,98,No volcanism,No atmosphere,Not terraformable,15.555758101852,0.015762804891313,0.006334,0.340737,87.88282,15.556636284722,1,0.500379,
Pleiades Sector KH-V c2-1 3 c,Planet,Icy body,1995.026245,1,0.12412293933621,0.012674,2038.052375,96,No volcanism,No atmosphere,Not terraformable,23.347239583333,0.020663145869228,0.004762,-0.181226,238.487167,23.3485546875,1,-0.015382,
Pleiades Sector KH-V c2-1 3 d,Planet,Icy body,1980.237671,1,0.10910266279621,0.008711,1802.191125,95,No volcanism,No atmosphere,Not terraformable,35.123660300926,0.027129344428563,0.002195,-0.069952,267.234955,35.125651041667,1,0.303275,
Pleiades Sector KH-V c2-1 3 e,Planet,Icy body,1973.514893,1,0.12921780626706,0.014241,2117.3545,94,No volcanism,No atmosphere,Not terraformable,60.392534722222,0.038936918692386,0.000118,1.239095,104.19706,60.395949074074,1,0.198878,
Pleiades Sector KH-V c2-1 4,Planet,Class I gas giant,2633.570557,,2.1578199300114,263.914825,70535.672,115,No volcanism,No atmosphere,Not terraformable,4769.2025925926,5.2441759945986,0.006683,0.028957,330.200714,0.90642704716435,,0.071092,
Pleiades Sector KH-V c2-1 4 a,Planet,Icy body,2630.235596,1,0.095703396908883,0.005901,1583.739125,80,No volcanism,No atmosphere,Not terraformable,8.7425166377315,0.0076866283364821,3.5E-5,0.001948,16.685257,8.7431300636574,1,0.463012,
Pleiades Sector KH-V c2-1 4 a a,Planet,Icy body,2630.250244,1,0.032431636716326,0.000281,593.681125,80,Major Water Geysers,No atmosphere,Not terraformable,0.82011646412037,4.5404419649938E-5,0,-37.23568,314.653931,0.83939208984954,1,0.240792,
Pleiades Sector KH-V c2-1 4 b,Planet,Icy body,2628.524658,1,0.069081733846946,0.002281,1158.95225,79,No volcanism,No atmosphere,Not terraformable,13.734733796296,0.010387835553598,0.000302,0.002841,287.848633,13.735697337963,1,0.318793,
Pleiades Sector KH-V c2-1 4 c,Planet,Icy body,2625.660156,1,0.10990580036096,0.0089,1814.969,78,No volcanism,No atmosphere,Not terraformable,33.701276041667,0.018897709832176,0.002107,0.366024,214.756943,33.703640046296,1,-0.02135,
Pleiades Sector KH-V c2-1 4 d,Planet,Icy body,2642.549316,1,0.12588873365525,0.013205,2065.666875,78,No volcanism,No atmosphere,Not terraformable,72.844577546296,0.031591948266948,0.000191,-3.066625,154.393082,72.849693287037,1,-0.500985,
Pleiades Sector KH-V c2-1 5,Planet,Class I gas giant,3506.919678,,2.0978338701375,195.245804,61530.412,94,No volcanism,No atmosphere,Not terraformable,7399.7651851852,7.0284360754073,0.000783,-0.204952,50.584152,1.8444406467014,,-1.423592,
Pleiades Sector KH-V c2-1 5 a,Planet,Icy body,3506.067627,,0.067668551012938,0.002147,1136.07525,110,No volcanism,Methane,Not terraformable,14.589665798611,0.0097806414566835,0.000366,0.01811,320.86322,14.589992766204,1,-0.333719,
Pleiades Sector KH-V c2-1 5 b,Planet,Icy body,3509.064453,,0.068946007971897,0.002269,1157.036875,109,No volcanism,Methane,Not terraformable,54.082204861111,0.023426462205655,0.000153,0.007204,256.475189,54.083420138889,1,0.217194,
Pleiades Sector KH-V c2-1 5 c,Planet,Icy body,3505.128174,,0.054928783698193,0.001158,926.0593125,103,No volcanism,Methane,Not terraformable,93.179618055556,0.033668035142695,0.00258,0.459123,229.006958,93.181724537037,1,-0.365389,
Pleiades Sector KH-V c2-3,Star,K (Yellow-Orange) Star,0,,,,,3988,,,,,,,,,2.8686655454282,,,
Pleiades Sector KH-V c2-3 1,Planet,Metal-rich body,6.929014,,1.4787005515336,0.68002,4325.1905,1152,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.80690800420139,0.013885786517415,1.0E-5,-3.7E-5,28.987978,0.81393437138889,1,0.39369,
Pleiades Sector KH-V c2-3 2,Planet,High metal content world,12.164219,,1.5608348805572,2.323679,7782.0515,2893,Metallic Magma,Hot thick Carbon dioxide-rich,Not terraformable,1.876853479456,0.0243766909177,1.7E-5,0.004207,153.141312,1.8931966145833,1,0.452595,
Pleiades Sector KH-V c2-3 3,Planet,Gas giant with ammonia-based life,2266.265137,,3.6814154100989,525.149597,76176.08,137,No volcanism,No atmosphere,Not terraformable,4795.1044444444,4.5556802878746,0.007487,0.009588,245.316422,3.18298828125,,-1.674992,
Pleiades Sector KH-V c2-3 3 a,Planet,Rocky body,2268.625,1,0.052191962718026,0.00026,450.1625625,78,No volcanism,No atmosphere,Not terraformable,3.4456510416667,0.0051969484081701,8.2E-5,-0.009913,290.704926,3.3068688512731,1,-0.27318,
Pleiades Sector KH-V c2-3 3 b,Planet,Icy body,2266.868164,,0.07197415925752,0.002514,1192.007125,108,No volcanism,Methane,Not terraformable,8.2554615162037,0.0093052584337352,0.002124,-0.043756,144.822784,8.0705758101852,1,0.198891,
Pleiades Sector KH-V c2-3 3 c,Planet,Icy body,2266.352539,,0.06334808502232,0.001801,1075.411375,176,Major Water Geysers,Thick Methane,Not terraformable,1.6430696614583,2.8704212031275E-5,0.194585,4.46862,111.887108,2.3667041015625,1,0.276368,
Pleiades Sector KH-V c2-3 3 d,Planet,Icy body,2263.955078,,0.061795220611779,0.001675,1050.060875,175,Major Water Geysers,Thick Methane,Not terraformable,1.6430696614583,3.0851261307424E-5,0.194585,4.46862,291.887115,2.2828658492477,1,0.43528,
Pleiades Sector KH-V c2-3 3 e,Planet,Icy body,2268.713379,,0.054831836132307,0.001176,934.0535625,97,No volcanism,Methane,Not terraformable,27.726345486111,0.020868727404955,0.023325,-4.577302,49.87883,27.450193865741,1,-0.137584,
Pleiades Sector KH-V c2-3 4,Planet,Gas giant with ammonia-based life,2828.017578,,3.5052906931431,495.866058,75858.576,125,No volcanism,No atmosphere,Not terraformable,6651.9903703704,5.6665956968597,0.0005,0.555484,296.650299,1.7601262297454,,-3.037324,
Pleiades Sector KH-V c2-3 4 a,Planet,Icy body,2826.976563,,0.093612086821214,0.005597,1559.538875,209,Major Water Geysers,Thick Methane,Not terraformable,0.95600323712963,0.002168905523065,0.000103,0.006211,174.118149,0.95603488498843,1,-0.129927,
Pleiades Sector KH-V c2-3 4 b,Planet,Icy body,2827.414795,,0.13795081304191,0.017287,2257.783,227,Major Water Geysers,Thick Carbon dioxide-rich,Not terraformable,1.4252092375579,0.0028304368639653,0.000702,0.036624,136.510773,1.425256347662,1,0.176502,
Pleiades Sector KH-V c2-3 5,Planet,Class III gas giant,3922.017578,,12.620073860265,1722.769165,74519.016,381,No volcanism,No atmosphere,Not terraformable,10900.394074074,7.8761865288501,0.002167,-0.052048,214.915451,2.538904260706,,-0.925802,
Pleiades Sector KH-V c2-3 5 a,Planet,Rocky body,3921.834473,1,0.090632621890244,0.001339,775.2335,107,No volcanism,No atmosphere,Not terraformable,2.6661630135995,0.0065084271817781,4.3E-5,-0.001174,356.3703,2.6662165436921,1,-0.248102,
Pleiades Sector KH-V c2-3 5 b,Planet,Rocky body,3925.39209,1,0.091834210251889,0.001391,784.9569375,95,No volcanism,No atmosphere,Not terraformable,5.2403927951389,0.010212390061779,0.001579,0.028647,313.462341,5.2404976851852,1,0.070037,
Pleiades Sector KH-V c2-3 5 c,Planet,Icy body,3925.00293,1,0.12647398852871,0.012356,1993.530375,77,No volcanism,No atmosphere,Not terraformable,8.627466724537,0.014238809723914,5.9E-5,0.140713,217.513718,8.6276396122685,1,0.138939,
Pleiades Sector KH-V c2-3 5 d,Planet,Icy body,3931.202637,,0.12360705011267,0.012581,2034.794125,127,No volcanism,Methane,Not terraformable,21.3744140625,0.026070396308121,0.000215,2.73803,161.71608,21.374840856481,1,-0.238421,
Pleiades Sector KH-V c2-3 5 e,Planet,Icy body,3936.066162,,0.12863723475121,0.014123,2113.317,118,No volcanism,Methane,Not terraformable,43.510251736111,0.04187414295864,0.001267,0.00182,209.08699,43.511119791667,1,0.34953,
Pleiades Sector KH-V c2-3 6,Planet,Class I gas giant,7549.996582,,2.110044615279,242.906448,68431.84,63,No volcanism,No atmosphere,Not terraformable,319.9550462963,0.025456097083339,0.190517,0.418391,106.082001,1.1344597258449,,0.393632,
Pleiades Sector KH-V c2-3 7,Planet,Class I gas giant,7534.946289,,1.1264064056853,93.154533,58001.464,44,No volcanism,No atmosphere,Not terraformable,319.9550462963,0.066378178576575,0.190517,0.418391,286.082001,0.78959129050926,,-0.045956,
Pleiades Sector KH-V c2-3 7 a,Planet,Icy body,7534.033691,1,0.046422349566374,0.000708,787.6578125,34,Major Water Geysers,No atmosphere,Not terraformable,1.7090525535301,0.0018296925666068,2.6E-5,-0.0001,254.044037,1.5741673900463,1,-0.111965,
HIP 19266,Star,F (White) Star,0,,,,,6800,,,,,,,,,2.5419444444444,,,
HIP 19266 5,Planet,High metal content world,3689,,1.9334173066667,3.929821,9093.019,312,Major Silicate Vapour Geysers,Thick Methane,Not terraformable,6423.1674074074,7.4429952884617,0.007122,-1.415447,55.154213,1.4614603226273,,0.029384,
HIP 19266 6,Planet,Gas giant with ammonia-based life,4704.737305,,2.0909391050307,237.430527,67964.496,126,No volcanism,No atmosphere,Not terraformable,9170.4607407407,9.4371825189354,0.001003,5.595603,219.220123,1.4784230324074,,-0.120221,
HIP 19266 6 a,Planet,Rocky body,4707.794922,1,0.0821363019163,0.001,703.747625,104,No volcanism,No atmosphere,Not terraformable,11.165944733796,0.008734756195965,7.6E-5,-0.030043,105.518181,11.166134982639,1,0.098372,
HIP 19266 6 b,Planet,Rocky body,4706.452637,1,0.048854634298181,0.000213,421.13509375,104,No volcanism,No atmosphere,Not terraformable,15.166430844907,0.010712956758682,0.000228,-0.005622,125.170616,15.166688368056,1,-0.256701,
HIP 19266 6 c,Planet,Rocky body,4712,1,0.052441656045482,0.000263,451.6730625,103,No volcanism,No atmosphere,Not terraformable,26.51767650463,0.015548105792658,0.00259,-0.744656,207.987335,26.518127893519,1,0.49137,
HIP 19266 6 d,Planet,Rocky body,4685,1,0.098009925239625,0.001685,836.275625,102,No volcanism,No atmosphere,Not terraformable,115.89739583333,0.04156261938025,0.00213,-0.090659,239.588211,0.64359772858796,,-0.211807,
Pleiades Sector IR-W d1-76 A,Star,G (White-Yellow) Star,0,,,,,5455,,,,279432.10666667,49.258585559159,0.569668,46.889465,245.06102,3.629956958912,,,
Pleiades Sector IR-W d1-76 B,Star,G (White-Yellow) Star,66227.8125,,,,,5759,,,,279432.10666667,55.967079177846,0.569668,46.889465,65.061028,3.4867683015046,,,
Pleiades Sector IR-W d1-76 B 1,Planet,Class II gas giant,65248.351563,,3.8013841091468,532.486145,75486.24,246,No volcanism,No atmosphere,Not terraformable,1780.6155555556,2.8082617325114,1.9E-5,-0.051909,284.826965,1.8646393952546,,-0.051626,
Pleiades Sector IR-W d1-76 B 1 a,Planet,Rocky body,65248.253906,1,0.052403072322706,0.000263,451.8393125,185,No volcanism,No atmosphere,Not terraformable,8.3668048321759,0.0094322206686328,0.001046,0.265536,81.429741,8.3668467881944,1,-0.005829,
Pleiades Sector IR-W d1-76 B 1 b,Planet,Rocky body,65256.480469,1,0.052760841974259,0.000268,454.5650625,182,No volcanism,No atmosphere,Not terraformable,20.774377893519,0.017295226274902,0.005445,-1.780433,356.502228,20.774480613426,1,0.425054,
Pleiades Sector IR-W d1-76 B 1 c,Planet,Rocky body,65259.515625,,0.070107719519302,0.000626,602.68275,180,Major Rocky Magma,Sulphur dioxide,Not terraformable,1.2527822989005,1.2879356945286E-5,0.173572,-2.09215,165.953979,2.0079642288773,1,-0.301609,
Pleiades Sector IR-W d1-76 B 1 d,Planet,Rocky body,65259.53125,1,0.060244247774143,0.000399,519.05475,180,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.2527822989005,2.0207441695893E-5,0.173572,-2.09215,345.953979,0.53435035988426,,-0.264876,
Pleiades Sector IR-W d1-76 B 1 e,Planet,Rocky body,65256.28125,1,0.071882156877267,0.000673,617.136875,180,No volcanism,No atmosphere,Not terraformable,44.645610532407,0.028802271769233,0.000682,-3.822048,172.970047,44.645833333333,1,0.131389,
Pleiades Sector IR-W d1-76 B 1 f,Planet,Rocky body,65235.691406,1,0.080605319282887,0.000946,690.9525625,179,No volcanism,No atmosphere,Not terraformable,83.0034375,0.043548338338749,0.000391,3.659092,152.57962,5.1325390625,,0.017391,
Pleiades Sector IR-W d1-76 B 2,Planet,Class II gas giant,66620.960938,,1.2575578673913,112.825218,60412.056,155,No volcanism,No atmosphere,Not terraformable,3153.4592592593,4.1106994088787,0.001322,-3.414132,305.74646,0.41466349283565,,-2.672441,
Pleiades Sector IR-W d1-76 B 2 a,Planet,Rocky body,66621.859375,1,0.059139917198044,0.000377,509.231,149,No volcanism,No atmosphere,Not terraformable,6.229205005787,0.0046192255328672,0.000825,0.00438,210.404083,6.2293916377315,1,0.347284,
Pleiades Sector IR-W d1-76 B 2 b,Planet,Rocky body,66622.359375,1,0.058963645736858,0.000374,507.95840625,149,No volcanism,No atmosphere,Not terraformable,9.6347489872685,0.0061779018356041,5.3E-5,-0.006199,171.851425,9.6350376157407,1,0.152838,
Pleiades Sector IR-W d1-76 B 2 c,Planet,Rocky body,66616.710938,,0.096544229624677,0.001614,824.6565625,175,No volcanism,Thin Carbon dioxide,Not terraformable,16.124532696759,0.0087084088690843,0.000602,0.08778,159.83493,16.125014467593,1,-0.467351,
Pleiades Sector IR-W d1-76 B 2 d,Planet,Rocky body,66630.773438,,0.094800887127593,0.00152,807.6070625,174,No volcanism,Thin Carbon dioxide,Not terraformable,59.537008101852,0.020803610756206,0.002251,-5.207332,63.499596,-59.538790509259,,-1.688412,
Pleiades Sector IR-W d1-76 B 2 e,Planet,Rocky body,66606.679688,,0.079452857314186,0.000907,681.4490625,170,No volcanism,Thin Carbon dioxide,Not terraformable,101.30803240741,0.029651269521713,0.000188,-0.027632,115.031479,2.4893959780093,,-0.187946,
Pleiades Sector IR-W d1-76 B 3,Planet,Gas giant with ammonia-based life,68974.640625,,1.4657538700945,11.237535,17659.952,127,No volcanism,No atmosphere,Not terraformable,5037.85,5.6176453907241,0.001051,2.105894,217.275833,1.5425792100694,,-2.301753,
